"Story","Title","Result","Date","Stability","Duration (s)"
"Login en SauceDemo","Login exitoso","SUCCESS","2026-05-02T13:26:24.9402997-05:00[America/Bogota]","0.0","6.54"
"Login en SauceDemo","Login fallido","SUCCESS","2026-05-02T13:26:32.1335179-05:00[America/Bogota]","0.0","4.18"
"Gestion de productos","Visualizar lista de productos","SUCCESS","2026-05-02T13:26:36.4821061-05:00[America/Bogota]","0.0","4.49"
"Gestion de productos","Validar que los productos tienen nombre y precio","SUCCESS","2026-05-02T13:26:41.2324302-05:00[America/Bogota]","0.0","4.93"
