"Story","Title","Result","Date","Stability","Duration (s)"
"Filtro de productos","Ordenar productos por precio menor a mayor","SUCCESS","2026-05-02T14:20:19.178855-05:00[America/Bogota]","0.0","10.82"
"Login en SauceDemo","Login exitoso","SUCCESS","2026-05-02T14:20:30.9464079-05:00[America/Bogota]","0.0","4.81"
"Login en SauceDemo","Login fallido","SUCCESS","2026-05-02T14:20:35.9552404-05:00[America/Bogota]","0.0","6.38"
"Gestion de productos","Visualizar lista de productos","SUCCESS","2026-05-02T14:20:42.5530107-05:00[America/Bogota]","0.0","4.84"
"Gestion de productos","Validar que los productos tienen nombre y precio","SUCCESS","2026-05-02T14:20:47.6106839-05:00[America/Bogota]","0.0","5.52"
